organism,header_genome,mitogenome,Shortcut (renamed),tax_id,five_letter_code,default_location,header_mitogenome,assembly_location,assembly,mito_assembly_location,mito_assembly,
Fonticula alba,Fonticula,mitogenome_<genename>_Fonticula,FontAlba,691883,FONAL,n,Fonticula*,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000388065.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000388065.1/,
Monosiga brevicollis,Monosiga,mitogenome_<genename>_Monosiga,MonoBrev,81824,MONBE,n,Monosiga*,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000002865.3/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_004309.1,
Capsaspora owczarzaki,Capsaspora,mitogenome_<genename>_Capsaspora,CapsOwcz,192875,CAPOW,n,Capsaspora*,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000151315.2/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/KC573038.1,
Creolimax fragrantissima,Creolimax,(mitogenome separately not available on NCBI),CreoFrag,470921,CREFR,u,,Transcriptome,https://www.ncbi.nlm.nih.gov/sra/SRR2011332,,,
Sphaeroforma arctica,Sphaeroforma,(mitogenome separately not available on NCBI),SphaArct,72019,SPHAR,n,,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_001186125.1/,,,
Homo sapiens*,Homo,(mitogenome does not contain ribosomal protein genes),HomoSapi,9606,HUMAN,n,,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000001405.40/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_012920.1,
Cryptosporidium parvum,Cryptosporidium,,,5807,CRYPV,n,,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000165345.1/,,,
Gregarina niphandrodes,Gregarina,,,110365,GRENI,n,,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000223845.1/,,,
Plasmodium falciparum,Plasmodium,(mitogenome does not contain ribosomal protein genes),PlasFalc,5833,PLAFA,n,,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000002765.5/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_037526.1,
Toxoplasma gondii*,Toxoplasma,(mitogenome does not contain ribosomal protein genes),ToxoGond,5811,TOXGO,n,,Genome,https://onlinelibrary.wiley.com/doi/full/10.1111/mmi.14357,Mitogenome,"fragmented, no ribosomal genes - Namasivayam et al. Bioarx",
Ichthyopthirius multifiliis,Ichtyopthirius,"mitogenome_Ichthyopthirius1,mitogenome_Ichthyopthirius2",IchtMult,5932,ICHMU,n,Ichthyopthirius1,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000220395.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/JN227086.1,
Ichthyopthirius multifiliis,Ichtyopthirius,"mitogenome_Ichthyopthirius1,mitogenome_Ichthyopthirius2",IchtMult,5932,ICHMU,n,Ichthyopthirius2,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000220395.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/JN227086.1,
